ecosystem,identity,amount
kava,0xa02d796d6ad6dbde02f7705f64fbd67c2c57cf12,15.430385734644815
kava,0x7deb44a2f4c1efdae6da7b6890fd8b6f63904a02,16.32998531506755
kava,0x226fddba071f241cff19231eaa5ae4dec0187bb9,16.475143594783034
kava,0x611d3714b1bc0f3ed65510970e080aa9aa6e8009,17.18255035961523
kava,0x11d5752c836ddeb31334fad2aed221dd8e3838ba,18.961175436114043
kava,0xc345535630227f0cc52ca20c9740956f2677e8df,18.961175436114043
kava,0x7c0dfeeb882ae7b8aeed0186e352342ea4584b40,20.5287930219552
kava,0x8c3bbdd341c745de8b270d6c7812f4254f99e83b,21.044240430366457
kava,0x11b59508755643719b748fa0f3ce8f00d942546c,23.145578601967223
kava,0x3943ce90a3261a3dee5dbf417d861b3e3e6e2047,25.495181401618023
kava,0x54b958b268591edcc898970bb5235ab399bc2e1a,26.367454701699902
kava,0xd096666d282cdcd1df34ecd5a0dac76767f28ba7,27.559550150620698
kava,0xc0bd0fd903538fb5dafbce523930393543fc06d1,29.032097510799197
kava,0xd3571eb3194b0ded161e63072db123f8461e97d1,29.358311092263932
kava,0x2146adc31fff7886ba79217d69a914649e4656dc,30.237257267360278
kava,0x565e06deadc85964cafac21ad8e306ebfc28b693,30.511612597942563
kava,0xb8d47a856b76875f9b773f6164c643b16d2f1d15,30.899323353738996
kava,0xabb4c8a18b4f685a058b67f2a92e2e9222d627b2,32.256519234568614
kava,0x3238332a35318cc2b7fbc4bc74ac13886b670195,32.40381004275411
kava,0xeb0e6ecd0e78b0a84ecd9663a041f453c454a99d,32.87794838180271
kava,0xa0271837e57fca774d57230650c46ecdf7bd85d0,33.23806808748782
kava,0xfae2e02c9e76bdae80f8bac3f96384401643599d,33.23806808748782
kava,0x3acb51dd1b2a26cd532ebdd7c801039be5edc76f,35.59037786894133
kava,0x68503c30d5b394571607c076a63dfe68a2a2f989,35.98953477504843
kava,0xd40b829ba49a54505aeb6440dc3d91d4d59ddec7,36.547545334684365
kava,0x0752fc3c2d0c57e9d8b64740c99d72ff5e38cbb5,36.87184224286605
kava,0x4468beee63947af2b4ac0ac96e9e5ff53bc5cb56,38.39035316670541
kava,0x29bb025254eac8adc44d0f7d76460ca7f2ff49cc,38.85271852589414
kava,0x63cfe3aed71dae09ad36bda5eb76578638e90555,40.11900291007652
kava,0xaa47b118285071fb4c3fe51845d35e8b11c83cb5,42.98408075577118
kava,0xe0a4e5fb1694b91f2df8c552b91d8682e7f5177f,43.91564768680333
kava,0xf0c9784bc83b25ed790eb8b4a25cf46930d49885,44.21283479016729
kava,0x59f52c31a2f06e66bc6694f52ccdb0d87f96c991,44.239752804709774
kava,0x36a60423b50a02d1a9680d31a0a05ac2b36a6389,48.181364013686036
kava,0x9b3ee78737dc5c9d3c22c47340f442729c8545c8,48.79516409644815
kava,0xaf79312eb821871208ac76a80c8e282f8796964e,48.81955558214865
kava,0x61756111d32c63ee41e017d9ff15e59969685cf5,51.77808428416809
kava,0xb54efffa1e3221475902d089eac32001b135051e,53.139703560429965
kava,0x13b9e4d13d92b8813a17ee831771be7039b0f789,53.91810434225547
kava,0xe76bc520b59d3ea70f825514733bfc52de5be35f,55.0326389142072
kava,0x1223855bcb619cbe2650b35a61e0e941abed1f96,55.09749767438727
kava,0xd4ea4ecbf1c067d548cbe3097cd3791383b89f03,55.933818066603344
kava,0xc3fba3fe6bdf1c2cf72a34c7f21ebcd67561b79b,56.12504535286076
kava,0x51d185be1d9ec014f4303ba8ccb935627b23decc,56.90445090949434
kava,0x1457b7a933fb38a2d866c5e0d9b585ba0f1afdff,57.029837291949605
kava,0x00b231036e53da1701d811cb39effe26d0d41ade,58.146148760369414
kava,0x92dafdd1230d8ddb05ca65b32f8c609b217a4b14,59.44204379201446
kava,0xca951d98934a878b32f4dc94004d434c8462a134,61.663651842891085
kava,0x670e6481e3448758d8fc1936a24ccd90653e721d,62.297495165494915
kava,0x84984f28be66aae264243a866e870168f54fd63c,63.28339625789079
kava,0xf40e33ceaa8da39fe811779e315067f0619b28de,67.48919809116319
kava,0x8de3c3891268502f77db7e876d727257dec0f852,68.27836715060074
kava,0x76a3b7c6687949eca9c5abee5db8340ef4727172,71.08033609361254
kava,0x9588d1df5ce734be4ed98cfcd19f99611b705e7f,72.01214056932402
kava,0xf0528f622cd8ad2d97343373907c7d7c103c3858,72.19376038001673
kava,0x44d7fd3d7496ac4bb9447947a10c33358519c988,72.62123798742661
kava,0xcbe68ade2d49b26d67a79fe769ccce7906834177,74.88110397366185
kava,0xaca67f4454a1022597b09c60b2d4fd125f9b5939,78.20937854696844
kava,0xa5b96ec77e349224ef289408e8d64db527d6f732,79.25272037859496
kava,0x93d3c6f87067251bd41a6a2003f370175b3b204c,80.47504623560089
kava,0xcee31bc0c639ccb2ce9669950d61066f03d82607,93.88473614553016
kava,0x597329dea3bc52d19092b8b093cc8d2f4d790d13,96.32565830950588
kava,0x69df2a801783007e983aea2fd4710f44f3d472e2,97.44383274649462
kava,0x05220a15ce8702197e7f7f79c631194eb63f8872,104.48319702099855
kava,0x68210db7fd1a897f295cb10a1c3b53919d27c784,109.1747498473512
kava,0x73d5d1b13f844a3e031b89c3c31e81d65dd3700b,111.85699372856546
kava,0x2c2fa8a0b0aa01169d1f7e2dc70829572c263d58,116.6602473512859
kava,0xc05f19926bec6e2c7648d93b1343aafffadae479,116.9456301755683
kava,0x503984dc450a1ce50a6d7f5e43422125791b66c1,119.03728394662757
kava,0xe1668d66fa6172ad0c678327be75b6007b0b1ff9,119.03728394662757
kava,0xbe398bb77318b58612ef5cb920dbbc2350bf3230,119.03728394662757
kava,0xced9450c4671b64b27c0614bea50676115f5b6e7,119.03728394662757
kava,0x07c9033ec3eafbff93f0436f8fa411c59f26c835,119.03728394662757
kava,0x6559803e56448b963f74f75232e1cfea2e7eaad0,119.03728394662757
kava,0x0a8151a1f61f7607e7c06d9098f3050213b6de10,119.03728394662757
kava,0xf976670c123235fb74a75b509a7e38d6aa2fd261,119.03728394662757
kava,0x8d5f0acbbdc0443567fee03754314e67481af7db,119.03728394662757
kava,0x099fc8319c75a4e1edf2ee4ed08753049051a124,119.03728394662757
kava,0xd3ff4d0b6c143970c0865164ce4d3f7888b6dbe0,119.03728394662757
kava,0x59554d1e1d607347ce012219dd9528f230d460af,119.03728394662757
kava,0x00001f7f1e274e45fa9de132895eea335f650000,119.03728394662757
kava,0xb04a9ccbdb801c4ca0403344edb6ff0ecab07a8e,119.03728394662757
kava,0x2eac4dff8bb1f6bebee3f1bd4ec657633b4db1d7,119.03728394662757
kava,0x8ec27a80b1ef5af73c53498aaa366837fd5495f5,119.03728394662757
kava,0x1fc2c29898a3c40402a84f679df094be856435d2,119.03728394662757
kava,0x99585dbf0212898a15ea220d6cc4ca8fa5142b63,119.03728394662757
kava,0xdbc96cdfad60ee1b0b430a9f58effc4765d0bea3,119.03728394662757
kava,0x938e9c219f49f3d18c7bffb5cbad7d20a559caf7,119.03728394662757
kava,0x6466b2c9b0e2197a7c75e4834a1dc7bdb9fe15bc,119.03728394662757
